,occ_code,occ_title,o_group,tot_emp,area
855,11-0000,Management Occupations,major,169310,4
856,13-0000,Business and Financial Operations Occupations,major,166190,4
857,15-0000,Computer and Mathematical Occupations,major,97920,4
858,17-0000,Architecture and Engineering Occupations,major,51730,4
859,19-0000,"Life, Physical, and Social Science Occupations",major,19700,4
860,21-0000,Community and Social Service Occupations,major,47680,4
861,23-0000,Legal Occupations,major,20560,4
862,25-0000,Educational Instruction and Library Occupations,major,146540,4
863,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,32160,4
864,29-0000,Healthcare Practitioners and Technical Occupations,major,167590,4
865,31-0000,Healthcare Support Occupations,major,124370,4
866,33-0000,Protective Service Occupations,major,79410,4
867,35-0000,Food Preparation and Serving Related Occupations,major,268800,4
868,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,84010,4
869,39-0000,Personal Care and Service Occupations,major,64320,4
870,41-0000,Sales and Related Occupations,major,286680,4
871,43-0000,Office and Administrative Support Occupations,major,438330,4
872,45-0000,"Farming, Fishing, and Forestry Occupations",major,11950,4
873,47-0000,Construction and Extraction Occupations,major,136320,4
874,49-0000,"Installation, Maintenance, and Repair Occupations",major,117030,4
875,51-0000,Production Occupations,major,108520,4
876,53-0000,Transportation and Material Moving Occupations,major,227680,4
3214,11-1011,Chief Executives,detailed,4270,4
3215,11-1021,General and Operations Managers,detailed,54780,4
3216,11-1031,Legislators,detailed,590,4
3217,11-2011,Advertising and Promotions Managers,detailed,**,4
3218,11-2021,Marketing Managers,detailed,5230,4
3219,11-2022,Sales Managers,detailed,9970,4
3220,11-2030,Public Relations and Fundraising Managers,detailed,1190,4
3221,11-3010,Administrative Services and Facilities Managers,detailed,8300,4
3222,11-3021,Computer and Information Systems Managers,detailed,8790,4
3223,11-3031,Financial Managers,detailed,12000,4
3224,11-3051,Industrial Production Managers,detailed,2860,4
3225,11-3061,Purchasing Managers,detailed,1310,4
3226,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2700,4
3227,11-3111,Compensation and Benefits Managers,detailed,270,4
3228,11-3121,Human Resources Managers,detailed,3000,4
3229,11-3131,Training and Development Managers,detailed,950,4
3230,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,90,4
3231,11-9021,Construction Managers,detailed,6240,4
3232,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,1170,4
3233,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,5050,4
3234,11-9033,"Education Administrators, Postsecondary",detailed,3070,4
3235,11-9039,"Education Administrators, All Other",detailed,730,4
3236,11-9041,Architectural and Engineering Managers,detailed,3530,4
3237,11-9051,Food Service Managers,detailed,4500,4
3238,11-9081,Lodging Managers,detailed,980,4
3239,11-9111,Medical and Health Services Managers,detailed,8050,4
3240,11-9121,Natural Sciences Managers,detailed,880,4
3241,11-9131,Postmasters and Mail Superintendents,detailed,150,4
3242,11-9141,"Property, Real Estate, and Community Association Managers",detailed,6630,4
3243,11-9151,Social and Community Service Managers,detailed,2820,4
3244,11-9161,Emergency Management Directors,detailed,160,4
3245,11-9171,Funeral Home Managers,detailed,120,4
3246,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,8340,4
3247,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,70,4
3248,13-1020,Buyers and Purchasing Agents,detailed,7590,4
3249,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,10930,4
3250,13-1032,"Insurance Appraisers, Auto Damage",detailed,**,4
3251,13-1041,Compliance Officers,detailed,7430,4
