,occ_code,occ_title,o_group,tot_emp,area
987,11-0000,Management Occupations,major,89030,11
988,13-0000,Business and Financial Operations Occupations,major,109420,11
989,15-0000,Computer and Mathematical Occupations,major,43810,11
990,17-0000,Architecture and Engineering Occupations,major,11780,11
991,19-0000,"Life, Physical, and Social Science Occupations",major,24560,11
992,21-0000,Community and Social Service Occupations,major,11860,11
993,23-0000,Legal Occupations,major,39610,11
994,25-0000,Educational Instruction and Library Occupations,major,35860,11
995,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,39110,11
996,29-0000,Healthcare Practitioners and Technical Occupations,major,30310,11
997,31-0000,Healthcare Support Occupations,major,18830,11
998,33-0000,Protective Service Occupations,major,29660,11
999,35-0000,Food Preparation and Serving Related Occupations,major,60300,11
1000,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,21490,11
1001,39-0000,Personal Care and Service Occupations,major,10700,11
1002,41-0000,Sales and Related Occupations,major,28010,11
1003,43-0000,Office and Administrative Support Occupations,major,72670,11
1004,45-0000,"Farming, Fishing, and Forestry Occupations",major,350,11
1005,47-0000,Construction and Extraction Occupations,major,13270,11
1006,49-0000,"Installation, Maintenance, and Repair Occupations",major,9640,11
1007,51-0000,Production Occupations,major,5690,11
1008,53-0000,Transportation and Material Moving Occupations,major,17530,11
7249,11-1011,Chief Executives,detailed,1960,11
7250,11-1021,General and Operations Managers,detailed,25630,11
7251,11-2011,Advertising and Promotions Managers,detailed,130,11
7252,11-2021,Marketing Managers,detailed,2320,11
7253,11-2022,Sales Managers,detailed,1060,11
7254,11-2030,Public Relations and Fundraising Managers,detailed,5990,11
7255,11-3010,Administrative Services and Facilities Managers,detailed,1230,11
7256,11-3021,Computer and Information Systems Managers,detailed,3880,11
7257,11-3031,Financial Managers,detailed,7200,11
7258,11-3061,Purchasing Managers,detailed,1670,11
7259,11-3071,"Transportation, Storage, and Distribution Managers",detailed,550,11
7260,11-3111,Compensation and Benefits Managers,detailed,110,11
7261,11-3121,Human Resources Managers,detailed,1600,11
7262,11-3131,Training and Development Managers,detailed,310,11
7263,11-9021,Construction Managers,detailed,**,11
7264,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1260,11
7265,11-9033,"Education Administrators, Postsecondary",detailed,1580,11
7266,11-9039,"Education Administrators, All Other",detailed,940,11
7267,11-9041,Architectural and Engineering Managers,detailed,1370,11
7268,11-9051,Food Service Managers,detailed,1400,11
7269,11-9081,Lodging Managers,detailed,120,11
7270,11-9111,Medical and Health Services Managers,detailed,1600,11
7271,11-9121,Natural Sciences Managers,detailed,1170,11
7272,11-9141,"Property, Real Estate, and Community Association Managers",detailed,2070,11
7273,11-9151,Social and Community Service Managers,detailed,700,11
7274,11-9161,Emergency Management Directors,detailed,210,11
7275,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,20690,11
7276,13-1020,Buyers and Purchasing Agents,detailed,2540,11
7277,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,740,11
7278,13-1041,Compliance Officers,detailed,4210,11
7279,13-1051,Cost Estimators,detailed,350,11
7280,13-1071,Human Resources Specialists,detailed,7500,11
7281,13-1075,Labor Relations Specialists,detailed,420,11
7282,13-1081,Logisticians,detailed,1150,11
7283,13-1111,Management Analysts,detailed,18370,11
7284,13-1121,"Meeting, Convention, and Event Planners",detailed,2290,11
7285,13-1131,Fundraisers,detailed,2370,11
7286,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,570,11
7287,13-1151,Training and Development Specialists,detailed,1910,11
7288,13-1161,Market Research Analysts and Marketing Specialists,detailed,7110,11
7289,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,36840,11
7290,13-2011,Accountants and Auditors,detailed,10660,11
7291,13-2020,Property Appraisers and Assessors,detailed,170,11
7292,13-2031,Budget Analysts,detailed,1930,11
7293,13-2041,Credit Analysts,detailed,280,11
7294,13-2052,Personal Financial Advisors,detailed,810,11
7295,13-2053,Insurance Underwriters,detailed,130,11
7296,13-2061,Financial Examiners,detailed,650,11
7297,13-2071,Credit Counselors,detailed,140,11
7298,13-2072,Loan Officers,detailed,430,11
7299,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,7360,11
7300,15-1211,Computer Systems Analysts,detailed,3560,11
7301,15-1212,Information Security Analysts,detailed,2020,11
7302,15-1221,Computer and Information Research Scientists,detailed,470,11
7303,15-1231,Computer Network Support Specialists,detailed,280,11
7304,15-1232,Computer User Support Specialists,detailed,3760,11
7305,15-1241,Computer Network Architects,detailed,1400,11
7306,15-1244,Network and Computer Systems Administrators,detailed,1780,11
7307,15-1245,Database Administrators and Architects,detailed,930,11
7308,15-1251,Computer Programmers,detailed,620,11
7309,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,5880,11
7310,15-1257,Web Developers and Digital Interface Designers,detailed,1380,11
7311,15-1299,"Computer Occupations, All Other",detailed,**,11
7312,15-2011,Actuaries,detailed,160,11
7313,15-2021,Mathematicians,detailed,60,11
7314,15-2031,Operations Research Analysts,detailed,1110,11
7315,15-2041,Statisticians,detailed,1160,11
7316,17-1011,"Architects, Except Landscape and Naval",detailed,1760,11
7317,17-1022,Surveyors,detailed,100,11
7318,17-2011,Aerospace Engineers,detailed,330,11
7319,17-2031,Bioengineers and Biomedical Engineers,detailed,70,11
7320,17-2041,Chemical Engineers,detailed,80,11
7321,17-2051,Civil Engineers,detailed,1420,11
7322,17-2061,Computer Hardware Engineers,detailed,420,11
7323,17-2071,Electrical Engineers,detailed,590,11
7324,17-2072,"Electronics Engineers, Except Computer",detailed,480,11
7325,17-2081,Environmental Engineers,detailed,320,11
7326,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,180,11
7327,17-2112,Industrial Engineers,detailed,120,11
7328,17-2121,Marine Engineers and Naval Architects,detailed,500,11
7329,17-2141,Mechanical Engineers,detailed,580,11
7330,17-2161,Nuclear Engineers,detailed,110,11
7331,17-2199,"Engineers, All Other",detailed,2540,11
7332,17-3011,Architectural and Civil Drafters,detailed,770,11
7333,17-3012,Electrical and Electronics Drafters,detailed,**,11
7334,17-3013,Mechanical Drafters,detailed,**,11
7335,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,**,11
7336,17-3022,Civil Engineering Technologists and Technicians,detailed,170,11
7337,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,340,11
7338,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,330,11
7339,19-1012,Food Scientists and Technologists,detailed,50,11
7340,19-1013,Soil and Plant Scientists,detailed,60,11
7341,19-1021,Biochemists and Biophysicists,detailed,**,11
7342,19-1022,Microbiologists,detailed,60,11
7343,19-1023,Zoologists and Wildlife Biologists,detailed,80,11
7344,19-1029,"Biological Scientists, All Other",detailed,510,11
7345,19-1031,Conservation Scientists,detailed,150,11
7346,19-1032,Foresters,detailed,30,11
7347,19-1041,Epidemiologists,detailed,30,11
7348,19-1042,"Medical Scientists, Except Epidemiologists",detailed,530,11
7349,19-2011,Astronomers,detailed,60,11
7350,19-2012,Physicists,detailed,750,11
7351,19-2021,Atmospheric and Space Scientists,detailed,40,11
7352,19-2031,Chemists,detailed,260,11
7353,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,1790,11
7354,19-2099,"Physical Scientists, All Other",detailed,740,11
7355,19-3011,Economists,detailed,6480,11
7356,19-3022,Survey Researchers,detailed,200,11
7357,19-3031,"Clinical, Counseling, and School Psychologists",detailed,720,11
7358,19-3039,"Psychologists, All Other",detailed,220,11
7359,19-3051,Urban and Regional Planners,detailed,200,11
7360,19-3093,Historians,detailed,200,11
7361,19-3094,Political Scientists,detailed,3160,11
7362,19-3099,"Social Scientists and Related Workers, All Other",detailed,2630,11
7363,19-4021,Biological Technicians,detailed,330,11
7364,19-4031,Chemical Technicians,detailed,60,11
7365,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,120,11
7366,19-4061,Social Science Research Assistants,detailed,3650,11
7367,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,250,11
7368,19-5011,Occupational Health and Safety Specialists,detailed,470,11
7369,19-5012,Occupational Health and Safety Technicians,detailed,90,11
7370,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,1740,11
7371,21-1013,Marriage and Family Therapists,detailed,**,11
7372,21-1015,Rehabilitation Counselors,detailed,670,11
7373,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,900,11
7374,21-1019,"Counselors, All Other",detailed,250,11
7375,21-1021,"Child, Family, and School Social Workers",detailed,2250,11
7376,21-1022,Healthcare Social Workers,detailed,440,11
7377,21-1023,Mental Health and Substance Abuse Social Workers,detailed,630,11
7378,21-1091,Health Education Specialists,detailed,550,11
7379,21-1093,Social and Human Service Assistants,detailed,2000,11
7380,21-1094,Community Health Workers,detailed,800,11
7381,21-1099,"Community and Social Service Specialists, All Other",detailed,690,11
7382,21-2011,Clergy,detailed,120,11
7383,21-2021,"Directors, Religious Activities and Education",detailed,290,11
7384,21-2099,"Religious Workers, All Other",detailed,**,11
7385,23-1011,Lawyers,detailed,30960,11
7386,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,80,11
7387,23-2011,Paralegals and Legal Assistants,detailed,5810,11
7388,23-2099,"Legal Support Workers, All Other",detailed,2430,11
7389,25-1011,"Business Teachers, Postsecondary",detailed,770,11
7390,25-1021,"Computer Science Teachers, Postsecondary",detailed,200,11
7391,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,230,11
7392,25-1031,"Architecture Teachers, Postsecondary",detailed,70,11
7393,25-1032,"Engineering Teachers, Postsecondary",detailed,170,11
7394,25-1042,"Biological Science Teachers, Postsecondary",detailed,390,11
7395,25-1052,"Chemistry Teachers, Postsecondary",detailed,110,11
7396,25-1053,"Environmental Science Teachers, Postsecondary",detailed,40,11
