,occ_code,occ_title,o_group,tot_emp,area
1801,11-0000,Management Occupations,major,19170,50
1802,13-0000,Business and Financial Operations Occupations,major,15000,50
1803,15-0000,Computer and Mathematical Occupations,major,6760,50
1804,17-0000,Architecture and Engineering Occupations,major,6020,50
1805,19-0000,"Life, Physical, and Social Science Occupations",major,2900,50
1806,21-0000,Community and Social Service Occupations,major,10540,50
1807,23-0000,Legal Occupations,major,1990,50
1808,25-0000,Educational Instruction and Library Occupations,major,25400,50
1809,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5370,50
1810,29-0000,Healthcare Practitioners and Technical Occupations,major,19930,50
1811,31-0000,Healthcare Support Occupations,major,13390,50
1812,33-0000,Protective Service Occupations,major,5210,50
1813,35-0000,Food Preparation and Serving Related Occupations,major,26280,50
1814,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,10540,50
1815,39-0000,Personal Care and Service Occupations,major,6650,50
1816,41-0000,Sales and Related Occupations,major,27730,50
1817,43-0000,Office and Administrative Support Occupations,major,37310,50
1818,45-0000,"Farming, Fishing, and Forestry Occupations",major,1200,50
1819,47-0000,Construction and Extraction Occupations,major,14320,50
1820,49-0000,"Installation, Maintenance, and Repair Occupations",major,11720,50
1821,51-0000,Production Occupations,major,20130,50
1822,53-0000,Transportation and Material Moving Occupations,major,18740,50
32335,11-1011,Chief Executives,detailed,730,50
32336,11-1021,General and Operations Managers,detailed,4370,50
32337,11-2011,Advertising and Promotions Managers,detailed,50,50
32338,11-2021,Marketing Managers,detailed,670,50
32339,11-2022,Sales Managers,detailed,630,50
32340,11-2030,Public Relations and Fundraising Managers,detailed,350,50
32341,11-3010,Administrative Services and Facilities Managers,detailed,1010,50
32342,11-3021,Computer and Information Systems Managers,detailed,750,50
32343,11-3031,Financial Managers,detailed,1380,50
32344,11-3051,Industrial Production Managers,detailed,540,50
32345,11-3061,Purchasing Managers,detailed,150,50
32346,11-3071,"Transportation, Storage, and Distribution Managers",detailed,260,50
32347,11-3121,Human Resources Managers,detailed,300,50
32348,11-3131,Training and Development Managers,detailed,50,50
32349,11-9021,Construction Managers,detailed,630,50
32350,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,270,50
32351,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,820,50
32352,11-9039,"Education Administrators, All Other",detailed,**,50
32353,11-9041,Architectural and Engineering Managers,detailed,350,50
32354,11-9051,Food Service Managers,detailed,740,50
32355,11-9081,Lodging Managers,detailed,160,50
32356,11-9111,Medical and Health Services Managers,detailed,1180,50
32357,11-9121,Natural Sciences Managers,detailed,140,50
32358,11-9131,Postmasters and Mail Superintendents,detailed,120,50
32359,11-9141,"Property, Real Estate, and Community Association Managers",detailed,530,50
32360,11-9151,Social and Community Service Managers,detailed,1040,50
32361,11-9161,Emergency Management Directors,detailed,50,50
32362,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,670,50
32363,13-1020,Buyers and Purchasing Agents,detailed,840,50
32364,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,400,50
32365,13-1041,Compliance Officers,detailed,2090,50
32366,13-1051,Cost Estimators,detailed,320,50
32367,13-1071,Human Resources Specialists,detailed,1030,50
32368,13-1075,Labor Relations Specialists,detailed,130,50
32369,13-1081,Logisticians,detailed,140,50
32370,13-1111,Management Analysts,detailed,970,50
32371,13-1121,"Meeting, Convention, and Event Planners",detailed,260,50
32372,13-1131,Fundraisers,detailed,450,50
32373,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,160,50
32374,13-1151,Training and Development Specialists,detailed,590,50
32375,13-1161,Market Research Analysts and Marketing Specialists,detailed,1230,50
32376,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,1590,50
32377,13-2011,Accountants and Auditors,detailed,2610,50
32378,13-2020,Property Appraisers and Assessors,detailed,170,50
32379,13-2031,Budget Analysts,detailed,70,50
32380,13-2041,Credit Analysts,detailed,150,50
32381,13-2052,Personal Financial Advisors,detailed,360,50
32382,13-2053,Insurance Underwriters,detailed,140,50
32383,13-2061,Financial Examiners,detailed,80,50
32384,13-2071,Credit Counselors,detailed,80,50
32385,13-2072,Loan Officers,detailed,480,50
32386,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,110,50
32387,13-2082,Tax Preparers,detailed,160,50
32388,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,360,50
