,occ_code,occ_title,o_group,tot_emp,area
1647,11-0000,Management Occupations,major,270380,42
1648,13-0000,Business and Financial Operations Occupations,major,294690,42
1649,15-0000,Computer and Mathematical Occupations,major,162020,42
1650,17-0000,Architecture and Engineering Occupations,major,102990,42
1651,19-0000,"Life, Physical, and Social Science Occupations",major,49320,42
1652,21-0000,Community and Social Service Occupations,major,106330,42
1653,23-0000,Legal Occupations,major,42870,42
1654,25-0000,Educational Instruction and Library Occupations,major,341380,42
1655,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,61200,42
1656,29-0000,Healthcare Practitioners and Technical Occupations,major,406110,42
1657,31-0000,Healthcare Support Occupations,major,335890,42
1658,33-0000,Protective Service Occupations,major,130140,42
1659,35-0000,Food Preparation and Serving Related Occupations,major,509330,42
1660,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,167960,42
1661,39-0000,Personal Care and Service Occupations,major,145640,42
1662,41-0000,Sales and Related Occupations,major,541890,42
1663,43-0000,Office and Administrative Support Occupations,major,825920,42
1664,45-0000,"Farming, Fishing, and Forestry Occupations",major,7180,42
1665,47-0000,Construction and Extraction Occupations,major,228210,42
1666,49-0000,"Installation, Maintenance, and Repair Occupations",major,238530,42
1667,51-0000,Production Occupations,major,379000,42
1668,53-0000,Transportation and Material Moving Occupations,major,554580,42
27620,11-1011,Chief Executives,detailed,6630,42
27621,11-1021,General and Operations Managers,detailed,86470,42
27622,11-1031,Legislators,detailed,2060,42
27623,11-2011,Advertising and Promotions Managers,detailed,650,42
27624,11-2021,Marketing Managers,detailed,7710,42
27625,11-2022,Sales Managers,detailed,9180,42
27626,11-2030,Public Relations and Fundraising Managers,detailed,1960,42
27627,11-3010,Administrative Services and Facilities Managers,detailed,7980,42
27628,11-3021,Computer and Information Systems Managers,detailed,15040,42
27629,11-3031,Financial Managers,detailed,20140,42
27630,11-3051,Industrial Production Managers,detailed,6880,42
27631,11-3061,Purchasing Managers,detailed,2340,42
27632,11-3071,"Transportation, Storage, and Distribution Managers",detailed,4720,42
27633,11-3111,Compensation and Benefits Managers,detailed,710,42
27634,11-3121,Human Resources Managers,detailed,5450,42
27635,11-3131,Training and Development Managers,detailed,1060,42
27636,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,40,42
27637,11-9021,Construction Managers,detailed,9740,42
27638,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,2710,42
27639,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,8470,42
27640,11-9033,"Education Administrators, Postsecondary",detailed,5330,42
27641,11-9039,"Education Administrators, All Other",detailed,1010,42
27642,11-9041,Architectural and Engineering Managers,detailed,7070,42
27643,11-9051,Food Service Managers,detailed,6610,42
27644,11-9071,Gambling Managers,detailed,80,42
27645,11-9081,Lodging Managers,detailed,1150,42
27646,11-9111,Medical and Health Services Managers,detailed,17330,42
27647,11-9121,Natural Sciences Managers,detailed,4580,42
27648,11-9131,Postmasters and Mail Superintendents,detailed,800,42
27649,11-9141,"Property, Real Estate, and Community Association Managers",detailed,6070,42
27650,11-9151,Social and Community Service Managers,detailed,8260,42
27651,11-9161,Emergency Management Directors,detailed,400,42
27652,11-9171,Funeral Home Managers,detailed,640,42
27653,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,11140,42
27654,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,120,42
27655,13-1020,Buyers and Purchasing Agents,detailed,16370,42
27656,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,13440,42
27657,13-1032,"Insurance Appraisers, Auto Damage",detailed,250,42
27658,13-1041,Compliance Officers,detailed,12670,42
27659,13-1051,Cost Estimators,detailed,8720,42
27660,13-1071,Human Resources Specialists,detailed,24270,42
27661,13-1075,Labor Relations Specialists,detailed,4280,42
27662,13-1081,Logisticians,detailed,7400,42
27663,13-1111,Management Analysts,detailed,27300,42
27664,13-1121,"Meeting, Convention, and Event Planners",detailed,4450,42
27665,13-1131,Fundraisers,detailed,4010,42
27666,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,3510,42
27667,13-1151,Training and Development Specialists,detailed,9570,42
27668,13-1161,Market Research Analysts and Marketing Specialists,detailed,25380,42
27669,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,26490,42
27670,13-2011,Accountants and Auditors,detailed,50880,42
27671,13-2020,Property Appraisers and Assessors,detailed,1270,42
27672,13-2031,Budget Analysts,detailed,1510,42
27673,13-2041,Credit Analysts,detailed,2350,42
27674,13-2052,Personal Financial Advisors,detailed,9260,42
27675,13-2053,Insurance Underwriters,detailed,4690,42
27676,13-2061,Financial Examiners,detailed,1750,42
27677,13-2071,Credit Counselors,detailed,1420,42
27678,13-2072,Loan Officers,detailed,10270,42
27679,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,3410,42
27680,13-2082,Tax Preparers,detailed,2190,42
27681,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,17480,42
27682,15-1211,Computer Systems Analysts,detailed,21500,42
27683,15-1212,Information Security Analysts,detailed,3340,42
27684,15-1221,Computer and Information Research Scientists,detailed,370,42
27685,15-1231,Computer Network Support Specialists,detailed,7860,42
27686,15-1232,Computer User Support Specialists,detailed,22680,42
27687,15-1241,Computer Network Architects,detailed,7180,42
27688,15-1244,Network and Computer Systems Administrators,detailed,11760,42
27689,15-1245,Database Administrators and Architects,detailed,6150,42
27690,15-1251,Computer Programmers,detailed,7800,42
27691,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,39590,42
27692,15-1257,Web Developers and Digital Interface Designers,detailed,4650,42
27693,15-1299,"Computer Occupations, All Other",detailed,19660,42
27694,15-2011,Actuaries,detailed,1510,42
27695,15-2021,Mathematicians,detailed,50,42
27696,15-2031,Operations Research Analysts,detailed,3380,42
27697,15-2041,Statisticians,detailed,3430,42
27698,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1110,42
27699,17-1011,"Architects, Except Landscape and Naval",detailed,4060,42
27700,17-1012,Landscape Architects,detailed,920,42
27701,17-1021,Cartographers and Photogrammetrists,detailed,140,42
27702,17-1022,Surveyors,detailed,1620,42
27703,17-2011,Aerospace Engineers,detailed,680,42
27704,17-2021,Agricultural Engineers,detailed,50,42
27705,17-2031,Bioengineers and Biomedical Engineers,detailed,1180,42
27706,17-2041,Chemical Engineers,detailed,1000,42
27707,17-2051,Civil Engineers,detailed,12260,42
27708,17-2061,Computer Hardware Engineers,detailed,1500,42
27709,17-2071,Electrical Engineers,detailed,9110,42
27710,17-2072,"Electronics Engineers, Except Computer",detailed,3500,42
27711,17-2081,Environmental Engineers,detailed,2700,42
27712,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,1490,42
27713,17-2112,Industrial Engineers,detailed,9780,42
27714,17-2131,Materials Engineers,detailed,1660,42
27715,17-2141,Mechanical Engineers,detailed,16930,42
27716,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,290,42
27717,17-2161,Nuclear Engineers,detailed,850,42
27718,17-2171,Petroleum Engineers,detailed,970,42
27719,17-2199,"Engineers, All Other",detailed,4910,42
27720,17-3011,Architectural and Civil Drafters,detailed,4540,42
27721,17-3012,Electrical and Electronics Drafters,detailed,1120,42
27722,17-3013,Mechanical Drafters,detailed,3120,42
27723,17-3019,"Drafters, All Other",detailed,220,42
27724,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,**,42
27725,17-3022,Civil Engineering Technologists and Technicians,detailed,2140,42
27726,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,4110,42
27727,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,690,42
27728,17-3025,Environmental Engineering Technologists and Technicians,detailed,690,42
27729,17-3026,Industrial Engineering Technologists and Technicians,detailed,1890,42
27730,17-3027,Mechanical Engineering Technologists and Technicians,detailed,2580,42
27731,17-3031,Surveying and Mapping Technicians,detailed,1470,42
27732,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,4720,42
27733,19-1011,Animal Scientists,detailed,**,42
27734,19-1012,Food Scientists and Technologists,detailed,400,42
27735,19-1013,Soil and Plant Scientists,detailed,210,42
27736,19-1021,Biochemists and Biophysicists,detailed,1510,42
27737,19-1022,Microbiologists,detailed,640,42
27738,19-1023,Zoologists and Wildlife Biologists,detailed,210,42
27739,19-1029,"Biological Scientists, All Other",detailed,640,42
27740,19-1031,Conservation Scientists,detailed,830,42
27741,19-1032,Foresters,detailed,300,42
27742,19-1041,Epidemiologists,detailed,130,42
27743,19-1042,"Medical Scientists, Except Epidemiologists",detailed,7410,42
27744,19-1099,"Life Scientists, All Other",detailed,160,42
27745,19-2012,Physicists,detailed,370,42
27746,19-2021,Atmospheric and Space Scientists,detailed,160,42
27747,19-2031,Chemists,detailed,5310,42
27748,19-2032,Materials Scientists,detailed,350,42
27749,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,2110,42
27750,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,1250,42
27751,19-2043,Hydrologists,detailed,120,42
27752,19-2099,"Physical Scientists, All Other",detailed,450,42
27753,19-3011,Economists,detailed,570,42
27754,19-3022,Survey Researchers,detailed,430,42
27755,19-3031,"Clinical, Counseling, and School Psychologists",detailed,4220,42
27756,19-3032,Industrial-Organizational Psychologists,detailed,**,42
27757,19-3039,"Psychologists, All Other",detailed,460,42
27758,19-3041,Sociologists,detailed,60,42
27759,19-3051,Urban and Regional Planners,detailed,1330,42
27760,19-3091,Anthropologists and Archeologists,detailed,80,42
27761,19-3093,Historians,detailed,130,42
27762,19-3094,Political Scientists,detailed,120,42
27763,19-3099,"Social Scientists and Related Workers, All Other",detailed,550,42
27764,19-4010,Agricultural and Food Science Technicians,detailed,700,42
27765,19-4021,Biological Technicians,detailed,3490,42
27766,19-4031,Chemical Technicians,detailed,3230,42
27767,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,1390,42
27768,19-4045,Geological and Hydrologic Technicians,detailed,520,42
27769,19-4061,Social Science Research Assistants,detailed,1050,42
27770,19-4071,Forest and Conservation Technicians,detailed,300,42
27771,19-4092,Forensic Science Technicians,detailed,300,42
27772,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,1900,42
27773,19-5011,Occupational Health and Safety Specialists,detailed,4640,42
27774,19-5012,Occupational Health and Safety Technicians,detailed,680,42
27775,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,8010,42
27776,21-1013,Marriage and Family Therapists,detailed,1820,42
27777,21-1015,Rehabilitation Counselors,detailed,7390,42
27778,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,20350,42
27779,21-1019,"Counselors, All Other",detailed,940,42
27780,21-1021,"Child, Family, and School Social Workers",detailed,21180,42
27781,21-1022,Healthcare Social Workers,detailed,7950,42
27782,21-1023,Mental Health and Substance Abuse Social Workers,detailed,7610,42
27783,21-1029,"Social Workers, All Other",detailed,1660,42
27784,21-1091,Health Education Specialists,detailed,2120,42
27785,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,4110,42
27786,21-1093,Social and Human Service Assistants,detailed,15870,42
27787,21-1094,Community Health Workers,detailed,1830,42
27788,21-1099,"Community and Social Service Specialists, All Other",detailed,1180,42
27789,21-2011,Clergy,detailed,2430,42
27790,21-2021,"Directors, Religious Activities and Education",detailed,1500,42
27791,21-2099,"Religious Workers, All Other",detailed,380,42
27792,23-1011,Lawyers,detailed,24840,42
27793,23-1012,Judicial Law Clerks,detailed,1000,42
27794,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,770,42
27795,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,190,42
27796,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,230,42
27797,23-2011,Paralegals and Legal Assistants,detailed,12620,42
27798,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,2250,42
27799,23-2099,"Legal Support Workers, All Other",detailed,970,42
27800,25-1011,"Business Teachers, Postsecondary",detailed,4970,42
27801,25-1021,"Computer Science Teachers, Postsecondary",detailed,1650,42
27802,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,2370,42
27803,25-1031,"Architecture Teachers, Postsecondary",detailed,330,42
27804,25-1032,"Engineering Teachers, Postsecondary",detailed,2560,42
27805,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,**,42
27806,25-1042,"Biological Science Teachers, Postsecondary",detailed,3190,42
27807,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,860,42
27808,25-1052,"Chemistry Teachers, Postsecondary",detailed,1470,42
27809,25-1053,"Environmental Science Teachers, Postsecondary",detailed,220,42
27810,25-1054,"Physics Teachers, Postsecondary",detailed,820,42
27811,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,300,42
27812,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,610,42
27813,25-1063,"Economics Teachers, Postsecondary",detailed,710,42
27814,25-1064,"Geography Teachers, Postsecondary",detailed,230,42
27815,25-1065,"Political Science Teachers, Postsecondary",detailed,640,42
27816,25-1066,"Psychology Teachers, Postsecondary",detailed,2290,42
27817,25-1067,"Sociology Teachers, Postsecondary",detailed,670,42
27818,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,600,42
27819,25-1071,"Health Specialties Teachers, Postsecondary",detailed,15130,42
27820,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,3420,42
27821,25-1081,"Education Teachers, Postsecondary",detailed,2530,42
27822,25-1082,"Library Science Teachers, Postsecondary",detailed,290,42
27823,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,800,42
27824,25-1112,"Law Teachers, Postsecondary",detailed,680,42
27825,25-1113,"Social Work Teachers, Postsecondary",detailed,820,42
27826,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,4380,42
27827,25-1122,"Communications Teachers, Postsecondary",detailed,1440,42
27828,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,3500,42
27829,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,1460,42
27830,25-1125,"History Teachers, Postsecondary",detailed,1030,42
27831,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,1020,42
27832,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,840,42
27833,25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,4620,42
27834,25-1199,"Postsecondary Teachers, All Other",detailed,5110,42
27835,25-2011,"Preschool Teachers, Except Special Education",detailed,14400,42
27836,25-2012,"Kindergarten Teachers, Except Special Education",detailed,3040,42
