Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Food Waste,FoodWaste,bulk_dens,Bulk density - wet,435,kg/m3,4,,,,200,900,[1],
Food Waste,FoodWaste,ts_cont,Total solids content - wet,0.2,fraction wet weight,,,,,,,[1][2],
Food Waste,FoodWaste,VS_cont,VS content - dry,0.91,kg VS/kg TS,5,0.91,,,0,0.97,[2],0.8 in EcoBalance
Food Waste,FoodWaste,C_cont,Organic C content - dry,0.5,fraction TS,5,0.5,,,0.4,0.6,[1],
Food Waste PFAS Concentration,FoodWaste_PFAS,PFOA,PFOA concentration,0.00553,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFOS,PFOS concentration,0.00934,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFBA,PFBA concentration,0.071521,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFPeA,PFPeA concentration,0.0115,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHxA,PFHxA concentration,0.001233,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHpA,PFHpA concentration,0.001855,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFNA,PFNA concentration,0.002867,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFDA,PFDA concentration,0.003004,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFBS,PFBS concentration,0.00045,10e-6g/kg,,,,,,,"[3], [4]",
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHxS,PFHxS concentration,0.0024,10e-6g/kg,,,,,,,"[3], [4]",
Compost,Compost,bulk_dens,Bulk density - wet,500,kg/m3,5,500,,,400,700,[5],"Ideal range 475-600 kg/m3, acceptable 400-700."
Compost,Compost,ts_cont,TS content,0.6,kg TS/kg,5,0.6,,,0.45,0.65,"[6], [7]",Compost should be at moisture content between 35-55% for land application.
Compost,Compost,VS_cont,VS content - dry,0.6,kg VS/kg TS,5,0.6,,,0.4,0.7,"[6], [7]",
Compost,Compost,C_cont,Organic C content - dry,0.28,kg C/kg TS,5,0.28,,,0.15,0.5,"[6], [7]",
Compost PFAS Concentration,Compost_PFAS,PFOA,PFOA concentration,5.24,10e-6g/kg,5,5.24,,,0,26,[8][9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFOS,PFOS concentration,7.375,10e-6g/kg,5,7.375,,,0,88.5,[8] [9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFBA,PFBA concentration,3.267,10e-6g/kg,5,3.267,,,0,12.04,[8] [9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFPeA,PFPeA concentration,3.424,10e-6g/kg,5,3.424,,,0.41,8.59,[8] [9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFHxA,PFHxA concentration,16.407,10e-6g/kg,5,16.407,,,0,61,[8] [9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFHpA,PFHpA concentration,0.826,10e-6g/kg,5,0.826,,,0,6.5,[9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFNA,PFNA concentration,1.045,10e-6g/kg,5,1.045,,,0,8.1,[8] [9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFDA,PFDA concentration,2.71,10e-6g/kg,5,2.71,,,0,20.5,[8] [9],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFBS,PFBS concentration,7.36,10e-6g/kg,5,7.36,,,0,41.9,[8],Nonte: presence?or absence of biosolids and/or food packaging
Compost PFAS Concentration,Compost_PFAS,PFHxS,PFHxS concentration,0.19,10e-6g/kg,5,0.19,,,0,1.9,[8] [9],Nonte: presence?or absence of biosolids and/or food packaging
Compost Residuals,CompostResiduals,bulk_dens,Bulk density - wet,500,kg/m3,,,,,,,[5],Limited data on compost residuals? assuming residuals like food packaging have higher PFAS content so estimating concentrations based on composts with food packaging.
Compost Residuals,CompostResiduals,ts_cont,Total solids content - wet,0.6,fraction wet weight,,,,,,,"[6], [7]",*
Compost Residuals,CompostResiduals,VS_cont,VS content - dry,0.6,kg VS/kg TS,,,,,,,"[6], [7]",*
Compost Residuals,CompostResiduals,C_cont,Organic C content - dry,0.5,fraction TS,,,,,,,"[6], [7]",**
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFOA,PFOA concentration,5.4,10e-6g/kg,3,5.4,3,,2.5,10.3,[8][9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFOS,PFOS concentration,1.09,10e-6g/kg,3,1.09,0.4,,0.4,1.6,[8] [9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFBA,PFBA concentration,6.942857,10e-6g/kg,3,6.942857,3.8,,2.8,12,[8] [9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFPeA,PFPeA concentration,5.967143,10e-6g/kg,3,5.967143,2.3,,2.7,8.6,[8] [9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFHxA,PFHxA concentration,28.75286,10e-6g/kg,3,28.75286,13.1,,10.5,49.8,[8] [9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFHpA,PFHpA concentration,0.365714,10e-6g/kg,3,0.365714,1,,0,2.6,[9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFNA,PFNA concentration,0.327143,10e-6g/kg,3,0.327143,0.4,,0,1.1,[8] [9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFDA,PFDA concentration,0.73,10e-6g/kg,3,0.73,1.1,,0.1,3.2,[8] [9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFBS,PFBS concentration,1.631429,10e-6g/kg,3,1.631429,2.7,,0,7.6,[8],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
Compost Residuals PFAS Concentration,CompostResiduals_PFAS,PFHxS,PFHxS concentration,0.201429,10e-6g/kg,3,0.201429,0.1,,0.1,0.3,[8] [9],"Note, this data is from compost that includes food packaging? I just felt like residuals if mainly from FP would be higher PFAS?"
MSW,MSW,bulk_dens,Bulk density - wet,387,kg/m3,4,,,,344,464,,
MSW,MSW,ts_cont,Total solids content - wet,0.254,fraction wet weight,4,,,,0.23,0.31,,
MSW,MSW,VS_cont,VS content - dry,0.53,kg VS/kg TS,4,,,,0.46,0.6,,
MSW,MSW,C_cont,Organic C content - dry,0.331,fraction TS,4,,,,0.259,0.334,,
