Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (Composting),2.19,log L/kg OC,5,2.19,,,1.3,4.5,[20][21][22][23],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (Composting),3.04,log L/kg OC,5,3.04,,,2.4,4.7,[20][21][22][23],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (Composting),1.88,log L/kg OC,4,,,,1.3,1.88,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (Composting),1.37,log L/kg OC,,,,,,,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (Composting),1.77,log L/kg OC,5,1.77,,,1.31,2.1,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (Composting),1.97,log L/kg OC,,,,,,2.19,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (Composting),2.63,log L/kg OC,5,2.63,,,2.3,3.18,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (Composting),3.24,log L/kg OC,5,3.24,,,2.65,3.78,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (Composting),1.51,log L/kg OC,,,,,,1.79,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (Composting),2.79,log L/kg OC,5,2.79,,,2.05,2.875,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
