,occ_code,occ_title,o_group,tot_emp,area
1119,11-0000,Management Occupations,major,147080,18
1120,13-0000,Business and Financial Operations Occupations,major,124640,18
1121,15-0000,Computer and Mathematical Occupations,major,62720,18
1122,17-0000,Architecture and Engineering Occupations,major,53210,18
1123,19-0000,"Life, Physical, and Social Science Occupations",major,22350,18
1124,21-0000,Community and Social Service Occupations,major,41790,18
1125,23-0000,Legal Occupations,major,15280,18
1126,25-0000,Educational Instruction and Library Occupations,major,163850,18
1127,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,34580,18
1128,29-0000,Healthcare Practitioners and Technical Occupations,major,193730,18
1129,31-0000,Healthcare Support Occupations,major,114240,18
1130,33-0000,Protective Service Occupations,major,60660,18
1131,35-0000,Food Preparation and Serving Related Occupations,major,282350,18
1132,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,85460,18
1133,39-0000,Personal Care and Service Occupations,major,54010,18
1134,41-0000,Sales and Related Occupations,major,284150,18
1135,43-0000,Office and Administrative Support Occupations,major,369170,18
1136,45-0000,"Farming, Fishing, and Forestry Occupations",major,3260,18
1137,47-0000,Construction and Extraction Occupations,major,127000,18
1138,49-0000,"Installation, Maintenance, and Repair Occupations",major,133440,18
1139,51-0000,Production Occupations,major,386740,18
1140,53-0000,Transportation and Material Moving Occupations,major,313990,18
11154,11-1011,Chief Executives,detailed,3310,18
11155,11-1021,General and Operations Managers,detailed,51040,18
11156,11-1031,Legislators,detailed,1650,18
11157,11-2011,Advertising and Promotions Managers,detailed,240,18
11158,11-2021,Marketing Managers,detailed,3400,18
11159,11-2022,Sales Managers,detailed,5630,18
11160,11-2030,Public Relations and Fundraising Managers,detailed,**,18
11161,11-3010,Administrative Services and Facilities Managers,detailed,4990,18
11162,11-3021,Computer and Information Systems Managers,detailed,5080,18
11163,11-3031,Financial Managers,detailed,8330,18
11164,11-3051,Industrial Production Managers,detailed,6040,18
11165,11-3061,Purchasing Managers,detailed,1340,18
11166,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2000,18
11167,11-3111,Compensation and Benefits Managers,detailed,170,18
11168,11-3121,Human Resources Managers,detailed,2380,18
11169,11-3131,Training and Development Managers,detailed,600,18
11170,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,100,18
11171,11-9021,Construction Managers,detailed,5170,18
11172,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,790,18
11173,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,5010,18
11174,11-9033,"Education Administrators, Postsecondary",detailed,3660,18
11175,11-9039,"Education Administrators, All Other",detailed,250,18
11176,11-9041,Architectural and Engineering Managers,detailed,3980,18
11177,11-9051,Food Service Managers,detailed,3110,18
11178,11-9071,Gambling Managers,detailed,90,18
11179,11-9081,Lodging Managers,detailed,500,18
11180,11-9111,Medical and Health Services Managers,detailed,7960,18
11181,11-9131,Postmasters and Mail Superintendents,detailed,290,18
11182,11-9141,"Property, Real Estate, and Community Association Managers",detailed,3870,18
11183,11-9151,Social and Community Service Managers,detailed,2170,18
11184,11-9161,Emergency Management Directors,detailed,260,18
11185,11-9171,Funeral Home Managers,detailed,440,18
11186,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,7570,18
11187,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,120,18
11188,13-1020,Buyers and Purchasing Agents,detailed,8850,18
11189,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,4130,18
11190,13-1041,Compliance Officers,detailed,4820,18
11191,13-1051,Cost Estimators,detailed,4110,18
11192,13-1071,Human Resources Specialists,detailed,13280,18
11193,13-1075,Labor Relations Specialists,detailed,2540,18
11194,13-1081,Logisticians,detailed,2330,18
11195,13-1111,Management Analysts,detailed,10220,18
11196,13-1121,"Meeting, Convention, and Event Planners",detailed,1650,18
11197,13-1131,Fundraisers,detailed,1640,18
11198,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,1080,18
11199,13-1151,Training and Development Specialists,detailed,5490,18
11200,13-1161,Market Research Analysts and Marketing Specialists,detailed,10600,18
11201,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,11840,18
