,occ_code,occ_title,o_group,tot_emp,area
1867,11-0000,Management Occupations,major,32240,54
1868,13-0000,Business and Financial Operations Occupations,major,24750,54
1869,15-0000,Computer and Mathematical Occupations,major,11450,54
1870,17-0000,Architecture and Engineering Occupations,major,9150,54
1871,19-0000,"Life, Physical, and Social Science Occupations",major,6960,54
1872,21-0000,Community and Social Service Occupations,major,11800,54
1873,23-0000,Legal Occupations,major,4980,54
1874,25-0000,Educational Instruction and Library Occupations,major,43900,54
1875,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5050,54
1876,29-0000,Healthcare Practitioners and Technical Occupations,major,58590,54
1877,31-0000,Healthcare Support Occupations,major,33860,54
1878,33-0000,Protective Service Occupations,major,16900,54
1879,35-0000,Food Preparation and Serving Related Occupations,major,63970,54
1880,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,21190,54
1881,39-0000,Personal Care and Service Occupations,major,14480,54
1882,41-0000,Sales and Related Occupations,major,64430,54
1883,43-0000,Office and Administrative Support Occupations,major,93630,54
1884,45-0000,"Farming, Fishing, and Forestry Occupations",major,1480,54
1885,47-0000,Construction and Extraction Occupations,major,49250,54
1886,49-0000,"Installation, Maintenance, and Repair Occupations",major,35430,54
1887,51-0000,Production Occupations,major,39560,54
1888,53-0000,Transportation and Material Moving Occupations,major,59050,54
34330,11-1011,Chief Executives,detailed,990,54
34331,11-1021,General and Operations Managers,detailed,11510,54
34332,11-1031,Legislators,detailed,680,54
34333,11-2011,Advertising and Promotions Managers,detailed,40,54
34334,11-2021,Marketing Managers,detailed,390,54
34335,11-2022,Sales Managers,detailed,920,54
34336,11-2030,Public Relations and Fundraising Managers,detailed,140,54
34337,11-3010,Administrative Services and Facilities Managers,detailed,1530,54
34338,11-3021,Computer and Information Systems Managers,detailed,850,54
34339,11-3031,Financial Managers,detailed,1780,54
34340,11-3051,Industrial Production Managers,detailed,860,54
34341,11-3061,Purchasing Managers,detailed,120,54
34342,11-3071,"Transportation, Storage, and Distribution Managers",detailed,390,54
34343,11-3111,Compensation and Benefits Managers,detailed,30,54
34344,11-3121,Human Resources Managers,detailed,400,54
34345,11-3131,Training and Development Managers,detailed,80,54
34346,11-9021,Construction Managers,detailed,920,54
34347,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,180,54
34348,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1690,54
34349,11-9033,"Education Administrators, Postsecondary",detailed,1080,54
34350,11-9039,"Education Administrators, All Other",detailed,120,54
34351,11-9041,Architectural and Engineering Managers,detailed,510,54
34352,11-9051,Food Service Managers,detailed,1740,54
34353,11-9081,Lodging Managers,detailed,180,54
34354,11-9111,Medical and Health Services Managers,detailed,1710,54
34355,11-9131,Postmasters and Mail Superintendents,detailed,170,54
34356,11-9141,"Property, Real Estate, and Community Association Managers",detailed,800,54
34357,11-9151,Social and Community Service Managers,detailed,400,54
34358,11-9161,Emergency Management Directors,detailed,50,54
34359,11-9171,Funeral Home Managers,detailed,150,54
34360,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,1560,54
34361,13-1020,Buyers and Purchasing Agents,detailed,1030,54
34362,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,1110,54
34363,13-1041,Compliance Officers,detailed,**,54
34364,13-1051,Cost Estimators,detailed,850,54
34365,13-1071,Human Resources Specialists,detailed,2030,54
34366,13-1075,Labor Relations Specialists,detailed,550,54
34367,13-1081,Logisticians,detailed,360,54
34368,13-1111,Management Analysts,detailed,1980,54
34369,13-1121,"Meeting, Convention, and Event Planners",detailed,160,54
34370,13-1131,Fundraisers,detailed,190,54
34371,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,220,54
34372,13-1151,Training and Development Specialists,detailed,1270,54
34373,13-1161,Market Research Analysts and Marketing Specialists,detailed,1080,54
34374,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,3670,54
34375,13-2011,Accountants and Auditors,detailed,4250,54
34376,13-2020,Property Appraisers and Assessors,detailed,600,54
34377,13-2031,Budget Analysts,detailed,200,54
34378,13-2041,Credit Analysts,detailed,160,54
34379,13-2052,Personal Financial Advisors,detailed,410,54
34380,13-2053,Insurance Underwriters,detailed,130,54
34381,13-2061,Financial Examiners,detailed,120,54
34382,13-2071,Credit Counselors,detailed,100,54
34383,13-2072,Loan Officers,detailed,780,54
34384,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,280,54
34385,13-2082,Tax Preparers,detailed,260,54
34386,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,1320,54
34387,15-1211,Computer Systems Analysts,detailed,890,54
34388,15-1212,Information Security Analysts,detailed,250,54
34389,15-1221,Computer and Information Research Scientists,detailed,150,54
34390,15-1231,Computer Network Support Specialists,detailed,630,54
34391,15-1232,Computer User Support Specialists,detailed,2200,54
34392,15-1241,Computer Network Architects,detailed,260,54
34393,15-1244,Network and Computer Systems Administrators,detailed,1210,54
34394,15-1245,Database Administrators and Architects,detailed,440,54
34395,15-1251,Computer Programmers,detailed,530,54
34396,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,1820,54
34397,15-1257,Web Developers and Digital Interface Designers,detailed,290,54
34398,15-1299,"Computer Occupations, All Other",detailed,2220,54
34399,15-2031,Operations Research Analysts,detailed,400,54
34400,15-2041,Statisticians,detailed,80,54
34401,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,60,54
34402,17-1011,"Architects, Except Landscape and Naval",detailed,130,54
34403,17-1012,Landscape Architects,detailed,30,54
34404,17-1021,Cartographers and Photogrammetrists,detailed,40,54
34405,17-1022,Surveyors,detailed,680,54
34406,17-2011,Aerospace Engineers,detailed,60,54
34407,17-2041,Chemical Engineers,detailed,310,54
34408,17-2051,Civil Engineers,detailed,1440,54
34409,17-2061,Computer Hardware Engineers,detailed,240,54
34410,17-2071,Electrical Engineers,detailed,410,54
34411,17-2072,"Electronics Engineers, Except Computer",detailed,100,54
