,occ_code,occ_title,o_group,tot_emp,area
1713,11-0000,Management Occupations,major,12310,46
1714,13-0000,Business and Financial Operations Occupations,major,20860,46
1715,15-0000,Computer and Mathematical Occupations,major,8430,46
1716,17-0000,Architecture and Engineering Occupations,major,5210,46
1717,19-0000,"Life, Physical, and Social Science Occupations",major,4390,46
1718,21-0000,Community and Social Service Occupations,major,6710,46
1719,23-0000,Legal Occupations,major,1680,46
1720,25-0000,Educational Instruction and Library Occupations,major,24350,46
1721,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5430,46
1722,29-0000,Healthcare Practitioners and Technical Occupations,major,31410,46
1723,31-0000,Healthcare Support Occupations,major,13690,46
1724,33-0000,Protective Service Occupations,major,6740,46
1725,35-0000,Food Preparation and Serving Related Occupations,major,41620,46
1726,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,17170,46
1727,39-0000,Personal Care and Service Occupations,major,12290,46
1728,41-0000,Sales and Related Occupations,major,46220,46
1729,43-0000,Office and Administrative Support Occupations,major,57150,46
1730,45-0000,"Farming, Fishing, and Forestry Occupations",major,1570,46
1731,47-0000,Construction and Extraction Occupations,major,22420,46
1732,49-0000,"Installation, Maintenance, and Repair Occupations",major,17180,46
1733,51-0000,Production Occupations,major,33510,46
1734,53-0000,Transportation and Material Moving Occupations,major,34800,46
29594,11-1011,Chief Executives,detailed,500,46
29595,11-1021,General and Operations Managers,detailed,3620,46
29596,11-2021,Marketing Managers,detailed,70,46
29597,11-2022,Sales Managers,detailed,330,46
29598,11-3010,Administrative Services and Facilities Managers,detailed,370,46
29599,11-3021,Computer and Information Systems Managers,detailed,200,46
29600,11-3031,Financial Managers,detailed,680,46
29601,11-3051,Industrial Production Managers,detailed,460,46
29602,11-3061,Purchasing Managers,detailed,50,46
29603,11-3071,"Transportation, Storage, and Distribution Managers",detailed,250,46
29604,11-3121,Human Resources Managers,detailed,270,46
29605,11-3131,Training and Development Managers,detailed,40,46
29606,11-9021,Construction Managers,detailed,330,46
