,occ_code,occ_title,o_group,tot_emp,area
1515,11-0000,Management Occupations,major,502060,36
1516,13-0000,Business and Financial Operations Occupations,major,611820,36
1517,15-0000,Computer and Mathematical Occupations,major,272070,36
1518,17-0000,Architecture and Engineering Occupations,major,107230,36
1519,19-0000,"Life, Physical, and Social Science Occupations",major,72570,36
1520,21-0000,Community and Social Service Occupations,major,198410,36
1521,23-0000,Legal Occupations,major,116130,36
1522,25-0000,Educational Instruction and Library Occupations,major,708490,36
1523,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,221800,36
1524,29-0000,Healthcare Practitioners and Technical Occupations,major,546900,36
1525,31-0000,Healthcare Support Occupations,major,629090,36
1526,33-0000,Protective Service Occupations,major,314490,36
1527,35-0000,Food Preparation and Serving Related Occupations,major,768040,36
1528,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,311150,36
1529,39-0000,Personal Care and Service Occupations,major,262220,36
1530,41-0000,Sales and Related Occupations,major,903950,36
1531,43-0000,Office and Administrative Support Occupations,major,1334940,36
1532,45-0000,"Farming, Fishing, and Forestry Occupations",major,4220,36
1533,47-0000,Construction and Extraction Occupations,major,358350,36
1534,49-0000,"Installation, Maintenance, and Repair Occupations",major,318830,36
1535,51-0000,Production Occupations,major,328630,36
1536,53-0000,Transportation and Material Moving Occupations,major,631580,36
23401,11-1011,Chief Executives,detailed,8990,36
23402,11-1021,General and Operations Managers,detailed,168730,36
23403,11-1031,Legislators,detailed,6310,36
23404,11-2011,Advertising and Promotions Managers,detailed,7840,36
23405,11-2021,Marketing Managers,detailed,21550,36
23406,11-2022,Sales Managers,detailed,24730,36
23407,11-2030,Public Relations and Fundraising Managers,detailed,6550,36
23408,11-3010,Administrative Services and Facilities Managers,detailed,19460,36
23409,11-3021,Computer and Information Systems Managers,detailed,28960,36
23410,11-3031,Financial Managers,detailed,46100,36
23411,11-3051,Industrial Production Managers,detailed,5530,36
23412,11-3061,Purchasing Managers,detailed,4310,36
23413,11-3071,"Transportation, Storage, and Distribution Managers",detailed,4510,36
23414,11-3111,Compensation and Benefits Managers,detailed,1550,36
23415,11-3121,Human Resources Managers,detailed,10980,36
23416,11-3131,Training and Development Managers,detailed,3050,36
23417,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,110,36
23418,11-9021,Construction Managers,detailed,11380,36
23419,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,3070,36
23420,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,20670,36
23421,11-9033,"Education Administrators, Postsecondary",detailed,**,36
23422,11-9039,"Education Administrators, All Other",detailed,2120,36
23423,11-9041,Architectural and Engineering Managers,detailed,7060,36
23424,11-9051,Food Service Managers,detailed,10470,36
23425,11-9071,Gambling Managers,detailed,200,36
23426,11-9081,Lodging Managers,detailed,1070,36
23427,11-9111,Medical and Health Services Managers,detailed,25740,36
23428,11-9121,Natural Sciences Managers,detailed,1450,36
23429,11-9131,Postmasters and Mail Superintendents,detailed,830,36
23430,11-9141,"Property, Real Estate, and Community Association Managers",detailed,8620,36
23431,11-9151,Social and Community Service Managers,detailed,13820,36
23432,11-9161,Emergency Management Directors,detailed,640,36
23433,11-9171,Funeral Home Managers,detailed,540,36
23434,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,16620,36
23435,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,3560,36
23436,13-1020,Buyers and Purchasing Agents,detailed,25840,36
23437,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,17930,36
23438,13-1032,"Insurance Appraisers, Auto Damage",detailed,580,36
23439,13-1041,Compliance Officers,detailed,22040,36
23440,13-1051,Cost Estimators,detailed,9940,36
23441,13-1071,Human Resources Specialists,detailed,41880,36
23442,13-1075,Labor Relations Specialists,detailed,8080,36
23443,13-1081,Logisticians,detailed,3900,36
23444,13-1111,Management Analysts,detailed,53370,36
23445,13-1121,"Meeting, Convention, and Event Planners",detailed,10990,36
23446,13-1131,Fundraisers,detailed,8260,36
23447,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,9760,36
23448,13-1151,Training and Development Specialists,detailed,24190,36
23449,13-1161,Market Research Analysts and Marketing Specialists,detailed,68680,36
23450,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,49010,36
23451,13-2011,Accountants and Auditors,detailed,112030,36
23452,13-2020,Property Appraisers and Assessors,detailed,2970,36
23453,13-2031,Budget Analysts,detailed,3150,36
23454,13-2041,Credit Analysts,detailed,7690,36
23455,13-2052,Personal Financial Advisors,detailed,26150,36
23456,13-2053,Insurance Underwriters,detailed,7790,36
23457,13-2061,Financial Examiners,detailed,11310,36
23458,13-2071,Credit Counselors,detailed,2480,36
23459,13-2072,Loan Officers,detailed,13420,36
23460,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,4650,36
23461,13-2082,Tax Preparers,detailed,4200,36
23462,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,57980,36
23463,15-1211,Computer Systems Analysts,detailed,39860,36
23464,15-1212,Information Security Analysts,detailed,7120,36
23465,15-1221,Computer and Information Research Scientists,detailed,1390,36
23466,15-1231,Computer Network Support Specialists,detailed,13710,36
23467,15-1232,Computer User Support Specialists,detailed,45250,36
23468,15-1241,Computer Network Architects,detailed,8350,36
23469,15-1244,Network and Computer Systems Administrators,detailed,25910,36
23470,15-1245,Database Administrators and Architects,detailed,7730,36
23471,15-1251,Computer Programmers,detailed,13380,36
23472,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,78890,36
23473,15-1257,Web Developers and Digital Interface Designers,detailed,13000,36
23474,15-1299,"Computer Occupations, All Other",detailed,5360,36
23475,15-2011,Actuaries,detailed,2330,36
23476,15-2021,Mathematicians,detailed,100,36
23477,15-2031,Operations Research Analysts,detailed,6510,36
23478,15-2041,Statisticians,detailed,1200,36
23479,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1980,36
23480,17-1011,"Architects, Except Landscape and Naval",detailed,11470,36
23481,17-1012,Landscape Architects,detailed,1570,36
23482,17-1021,Cartographers and Photogrammetrists,detailed,130,36
23483,17-1022,Surveyors,detailed,1610,36
23484,17-2011,Aerospace Engineers,detailed,270,36
23485,17-2031,Bioengineers and Biomedical Engineers,detailed,560,36
23486,17-2041,Chemical Engineers,detailed,770,36
23487,17-2051,Civil Engineers,detailed,16400,36
23488,17-2061,Computer Hardware Engineers,detailed,1240,36
23489,17-2071,Electrical Engineers,detailed,9560,36
23490,17-2072,"Electronics Engineers, Except Computer",detailed,3660,36
23491,17-2081,Environmental Engineers,detailed,3110,36
23492,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,1760,36
23493,17-2112,Industrial Engineers,detailed,11760,36
23494,17-2121,Marine Engineers and Naval Architects,detailed,200,36
23495,17-2131,Materials Engineers,detailed,800,36
23496,17-2141,Mechanical Engineers,detailed,10050,36
23497,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,30,36
23498,17-2161,Nuclear Engineers,detailed,290,36
23499,17-2199,"Engineers, All Other",detailed,4740,36
23500,17-3011,Architectural and Civil Drafters,detailed,6360,36
23501,17-3012,Electrical and Electronics Drafters,detailed,1230,36
23502,17-3013,Mechanical Drafters,detailed,2540,36
23503,17-3019,"Drafters, All Other",detailed,650,36
23504,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,280,36
23505,17-3022,Civil Engineering Technologists and Technicians,detailed,1790,36
23506,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,5730,36
23507,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,300,36
23508,17-3025,Environmental Engineering Technologists and Technicians,detailed,640,36
23509,17-3026,Industrial Engineering Technologists and Technicians,detailed,2830,36
23510,17-3027,Mechanical Engineering Technologists and Technicians,detailed,1440,36
23511,17-3031,Surveying and Mapping Technicians,detailed,1370,36
23512,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2040,36
23513,19-1011,Animal Scientists,detailed,140,36
23514,19-1012,Food Scientists and Technologists,detailed,590,36
23515,19-1013,Soil and Plant Scientists,detailed,160,36
23516,19-1021,Biochemists and Biophysicists,detailed,910,36
23517,19-1022,Microbiologists,detailed,680,36
23518,19-1023,Zoologists and Wildlife Biologists,detailed,390,36
23519,19-1029,"Biological Scientists, All Other",detailed,710,36
23520,19-1031,Conservation Scientists,detailed,470,36
23521,19-1032,Foresters,detailed,250,36
23522,19-1041,Epidemiologists,detailed,260,36
23523,19-1042,"Medical Scientists, Except Epidemiologists",detailed,8590,36
23524,19-1099,"Life Scientists, All Other",detailed,140,36
23525,19-2012,Physicists,detailed,900,36
23526,19-2021,Atmospheric and Space Scientists,detailed,360,36
23527,19-2031,Chemists,detailed,3650,36
23528,19-2032,Materials Scientists,detailed,230,36
23529,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,3840,36
23530,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,660,36
23531,19-2043,Hydrologists,detailed,170,36
23532,19-2099,"Physical Scientists, All Other",detailed,910,36
23533,19-3011,Economists,detailed,820,36
23534,19-3022,Survey Researchers,detailed,610,36
23535,19-3031,"Clinical, Counseling, and School Psychologists",detailed,11030,36
23536,19-3039,"Psychologists, All Other",detailed,550,36
23537,19-3041,Sociologists,detailed,160,36
23538,19-3051,Urban and Regional Planners,detailed,1390,36
23539,19-3091,Anthropologists and Archeologists,detailed,70,36
23540,19-3093,Historians,detailed,410,36
23541,19-3094,Political Scientists,detailed,80,36
23542,19-3099,"Social Scientists and Related Workers, All Other",detailed,2220,36
23543,19-4010,Agricultural and Food Science Technicians,detailed,1040,36
23544,19-4021,Biological Technicians,detailed,3920,36
23545,19-4031,Chemical Technicians,detailed,2510,36
23546,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,2220,36
23547,19-4045,Geological and Hydrologic Technicians,detailed,170,36
23548,19-4051,Nuclear Technicians,detailed,290,36
23549,19-4061,Social Science Research Assistants,detailed,6170,36
23550,19-4071,Forest and Conservation Technicians,detailed,360,36
23551,19-4092,Forensic Science Technicians,detailed,860,36
23552,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,8680,36
23553,19-5011,Occupational Health and Safety Specialists,detailed,3930,36
23554,19-5012,Occupational Health and Safety Technicians,detailed,1020,36
23555,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,26500,36
23556,21-1013,Marriage and Family Therapists,detailed,1440,36
23557,21-1015,Rehabilitation Counselors,detailed,9190,36
23558,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,14910,36
23559,21-1019,"Counselors, All Other",detailed,490,36
23560,21-1021,"Child, Family, and School Social Workers",detailed,29880,36
23561,21-1022,Healthcare Social Workers,detailed,15720,36
23562,21-1023,Mental Health and Substance Abuse Social Workers,detailed,11540,36
23563,21-1029,"Social Workers, All Other",detailed,4910,36
23564,21-1091,Health Education Specialists,detailed,4360,36
23565,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,4940,36
23566,21-1093,Social and Human Service Assistants,detailed,39810,36
23567,21-1094,Community Health Workers,detailed,7750,36
23568,21-1099,"Community and Social Service Specialists, All Other",detailed,13750,36
23569,21-2011,Clergy,detailed,7210,36
23570,21-2021,"Directors, Religious Activities and Education",detailed,5230,36
23571,21-2099,"Religious Workers, All Other",detailed,780,36
23572,23-1011,Lawyers,detailed,77060,36
23573,23-1012,Judicial Law Clerks,detailed,710,36
23574,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,1420,36
23575,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,510,36
23576,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,3260,36
23577,23-2011,Paralegals and Legal Assistants,detailed,29310,36
23578,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,1600,36
