,occ_code,occ_title,o_group,tot_emp,area
1075,11-0000,Management Occupations,major,41680,16
1076,13-0000,Business and Financial Operations Occupations,major,28910,16
1077,15-0000,Computer and Mathematical Occupations,major,16060,16
1078,17-0000,Architecture and Engineering Occupations,major,14410,16
1079,19-0000,"Life, Physical, and Social Science Occupations",major,8530,16
1080,21-0000,Community and Social Service Occupations,major,11480,16
1081,23-0000,Legal Occupations,major,4190,16
1082,25-0000,Educational Instruction and Library Occupations,major,43420,16
1083,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,8400,16
1084,29-0000,Healthcare Practitioners and Technical Occupations,major,42100,16
1085,31-0000,Healthcare Support Occupations,major,32950,16
1086,33-0000,Protective Service Occupations,major,13500,16
1087,35-0000,Food Preparation and Serving Related Occupations,major,65890,16
1088,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,24580,16
1089,39-0000,Personal Care and Service Occupations,major,12440,16
1090,41-0000,Sales and Related Occupations,major,70350,16
1091,43-0000,Office and Administrative Support Occupations,major,100410,16
1092,45-0000,"Farming, Fishing, and Forestry Occupations",major,5600,16
1093,47-0000,Construction and Extraction Occupations,major,42890,16
1094,49-0000,"Installation, Maintenance, and Repair Occupations",major,31740,16
1095,51-0000,Production Occupations,major,50960,16
1096,53-0000,Transportation and Material Moving Occupations,major,56670,16
9786,11-1021,General and Operations Managers,detailed,14600,16
9787,11-1031,Legislators,detailed,360,16
9788,11-2011,Advertising and Promotions Managers,detailed,110,16
9789,11-2021,Marketing Managers,detailed,990,16
9790,11-2022,Sales Managers,detailed,1470,16
9791,11-2030,Public Relations and Fundraising Managers,detailed,270,16
9792,11-3010,Administrative Services and Facilities Managers,detailed,830,16
9793,11-3021,Computer and Information Systems Managers,detailed,1440,16
9794,11-3031,Financial Managers,detailed,2970,16
9795,11-3051,Industrial Production Managers,detailed,660,16
9796,11-3061,Purchasing Managers,detailed,270,16
9797,11-3071,"Transportation, Storage, and Distribution Managers",detailed,650,16
9798,11-3111,Compensation and Benefits Managers,detailed,80,16
9799,11-3121,Human Resources Managers,detailed,610,16
9800,11-3131,Training and Development Managers,detailed,140,16
9801,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,230,16
9802,11-9021,Construction Managers,detailed,1410,16
9803,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,110,16
9804,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1500,16
9805,11-9033,"Education Administrators, Postsecondary",detailed,1390,16
9806,11-9039,"Education Administrators, All Other",detailed,90,16
9807,11-9041,Architectural and Engineering Managers,detailed,1290,16
9808,11-9051,Food Service Managers,detailed,1040,16
9809,11-9081,Lodging Managers,detailed,190,16
9810,11-9111,Medical and Health Services Managers,detailed,2170,16
9811,11-9121,Natural Sciences Managers,detailed,370,16
9812,11-9131,Postmasters and Mail Superintendents,detailed,130,16
9813,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1620,16
9814,11-9151,Social and Community Service Managers,detailed,890,16
9815,11-9161,Emergency Management Directors,detailed,100,16
9816,11-9171,Funeral Home Managers,detailed,40,16
