,occ_code,occ_title,o_group,tot_emp,area
1097,11-0000,Management Occupations,major,451260,17
1098,13-0000,Business and Financial Operations Occupations,major,343380,17
1099,15-0000,Computer and Mathematical Occupations,major,184990,17
1100,17-0000,Architecture and Engineering Occupations,major,85600,17
1101,19-0000,"Life, Physical, and Social Science Occupations",major,39600,17
1102,21-0000,Community and Social Service Occupations,major,86380,17
1103,23-0000,Legal Occupations,major,50060,17
1104,25-0000,Educational Instruction and Library Occupations,major,376700,17
1105,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,77420,17
1106,29-0000,Healthcare Practitioners and Technical Occupations,major,354470,17
1107,31-0000,Healthcare Support Occupations,major,217110,17
1108,33-0000,Protective Service Occupations,major,146520,17
1109,35-0000,Food Preparation and Serving Related Occupations,major,516360,17
1110,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,172840,17
1111,39-0000,Personal Care and Service Occupations,major,118930,17
1112,41-0000,Sales and Related Occupations,major,560360,17
1113,43-0000,Office and Administrative Support Occupations,major,791740,17
1114,45-0000,"Farming, Fishing, and Forestry Occupations",major,5810,17
1115,47-0000,Construction and Extraction Occupations,major,187210,17
1116,49-0000,"Installation, Maintenance, and Repair Occupations",major,216530,17
1117,51-0000,Production Occupations,major,430840,17
1118,53-0000,Transportation and Material Moving Occupations,major,611700,17
10403,11-1011,Chief Executives,detailed,10010,17
10404,11-1021,General and Operations Managers,detailed,128580,17
10405,11-2011,Advertising and Promotions Managers,detailed,**,17
10406,11-2021,Marketing Managers,detailed,21980,17
10407,11-2022,Sales Managers,detailed,25650,17
10408,11-2030,Public Relations and Fundraising Managers,detailed,5280,17
10409,11-3010,Administrative Services and Facilities Managers,detailed,19310,17
10410,11-3021,Computer and Information Systems Managers,detailed,20370,17
10411,11-3031,Financial Managers,detailed,41900,17
10412,11-3051,Industrial Production Managers,detailed,11330,17
10413,11-3061,Purchasing Managers,detailed,4380,17
10414,11-3071,"Transportation, Storage, and Distribution Managers",detailed,9310,17
10415,11-3111,Compensation and Benefits Managers,detailed,1210,17
10416,11-3121,Human Resources Managers,detailed,10890,17
10417,11-3131,Training and Development Managers,detailed,2580,17
10418,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,260,17
10419,11-9021,Construction Managers,detailed,13040,17
10420,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,2610,17
10421,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,12480,17
10422,11-9033,"Education Administrators, Postsecondary",detailed,8120,17
10423,11-9039,"Education Administrators, All Other",detailed,1770,17
10424,11-9041,Architectural and Engineering Managers,detailed,8900,17
10425,11-9051,Food Service Managers,detailed,18250,17
10426,11-9071,Gambling Managers,detailed,160,17
10427,11-9081,Lodging Managers,detailed,1120,17
10428,11-9111,Medical and Health Services Managers,detailed,14510,17
10429,11-9121,Natural Sciences Managers,detailed,2170,17
10430,11-9131,Postmasters and Mail Superintendents,detailed,550,17
10431,11-9141,"Property, Real Estate, and Community Association Managers",detailed,7390,17
10432,11-9151,Social and Community Service Managers,detailed,5640,17
10433,11-9161,Emergency Management Directors,detailed,550,17
10434,11-9171,Funeral Home Managers,detailed,370,17
10435,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,34600,17
10436,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,300,17
10437,13-1020,Buyers and Purchasing Agents,detailed,14840,17
10438,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,12090,17
10439,13-1032,"Insurance Appraisers, Auto Damage",detailed,**,17
10440,13-1041,Compliance Officers,detailed,10150,17
10441,13-1051,Cost Estimators,detailed,5600,17
10442,13-1071,Human Resources Specialists,detailed,27580,17
10443,13-1075,Labor Relations Specialists,detailed,4890,17
10444,13-1081,Logisticians,detailed,9190,17
10445,13-1111,Management Analysts,detailed,36340,17
10446,13-1121,"Meeting, Convention, and Event Planners",detailed,4710,17
10447,13-1131,Fundraisers,detailed,2750,17
10448,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,4030,17
10449,13-1151,Training and Development Specialists,detailed,10600,17
10450,13-1161,Market Research Analysts and Marketing Specialists,detailed,33670,17
10451,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,52030,17
10452,13-2011,Accountants and Auditors,detailed,51740,17
10453,13-2020,Property Appraisers and Assessors,detailed,2330,17
10454,13-2031,Budget Analysts,detailed,1380,17
10455,13-2041,Credit Analysts,detailed,3040,17
10456,13-2052,Personal Financial Advisors,detailed,7800,17
10457,13-2053,Insurance Underwriters,detailed,7720,17
10458,13-2061,Financial Examiners,detailed,2010,17
10459,13-2071,Credit Counselors,detailed,1670,17
10460,13-2072,Loan Officers,detailed,12310,17
10461,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,1370,17
10462,13-2082,Tax Preparers,detailed,2600,17
10463,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,20510,17
10464,15-1211,Computer Systems Analysts,detailed,30710,17
10465,15-1212,Information Security Analysts,detailed,4120,17
10466,15-1221,Computer and Information Research Scientists,detailed,430,17
10467,15-1231,Computer Network Support Specialists,detailed,11130,17
10468,15-1232,Computer User Support Specialists,detailed,23450,17
10469,15-1241,Computer Network Architects,detailed,5150,17
10470,15-1244,Network and Computer Systems Administrators,detailed,11560,17
10471,15-1245,Database Administrators and Architects,detailed,4420,17
10472,15-1251,Computer Programmers,detailed,9260,17
10473,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,54700,17
10474,15-1257,Web Developers and Digital Interface Designers,detailed,5610,17
10475,15-1299,"Computer Occupations, All Other",detailed,13910,17
10476,15-2011,Actuaries,detailed,1970,17
10477,15-2021,Mathematicians,detailed,60,17
10478,15-2031,Operations Research Analysts,detailed,4520,17
10479,15-2041,Statisticians,detailed,1770,17
