,occ_code,occ_title,o_group,tot_emp,area
943,11-0000,Management Occupations,major,120810,9
944,13-0000,Business and Financial Operations Occupations,major,94570,9
945,15-0000,Computer and Mathematical Occupations,major,48650,9
946,17-0000,Architecture and Engineering Occupations,major,35730,9
947,19-0000,"Life, Physical, and Social Science Occupations",major,12210,9
948,21-0000,Community and Social Service Occupations,major,34190,9
949,23-0000,Legal Occupations,major,14100,9
950,25-0000,Educational Instruction and Library Occupations,major,121290,9
951,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,20900,9
952,29-0000,Healthcare Practitioners and Technical Occupations,major,105800,9
953,31-0000,Healthcare Support Occupations,major,77930,9
954,33-0000,Protective Service Occupations,major,36120,9
955,35-0000,Food Preparation and Serving Related Occupations,major,137680,9
956,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,55830,9
957,39-0000,Personal Care and Service Occupations,major,47440,9
958,41-0000,Sales and Related Occupations,major,156010,9
959,43-0000,Office and Administrative Support Occupations,major,224470,9
960,45-0000,"Farming, Fishing, and Forestry Occupations",major,1180,9
961,47-0000,Construction and Extraction Occupations,major,51040,9
962,49-0000,"Installation, Maintenance, and Repair Occupations",major,53980,9
963,51-0000,Production Occupations,major,93440,9
964,53-0000,Transportation and Material Moving Occupations,major,121750,9
6077,11-1011,Chief Executives,detailed,970,9
6078,11-1021,General and Operations Managers,detailed,30480,9
6079,11-1031,Legislators,detailed,440,9
6080,11-2011,Advertising and Promotions Managers,detailed,240,9
6081,11-2021,Marketing Managers,detailed,5680,9
6082,11-2022,Sales Managers,detailed,7000,9
6083,11-2030,Public Relations and Fundraising Managers,detailed,1010,9
6084,11-3010,Administrative Services and Facilities Managers,detailed,4080,9
6085,11-3021,Computer and Information Systems Managers,detailed,9360,9
6086,11-3031,Financial Managers,detailed,17790,9
6087,11-3051,Industrial Production Managers,detailed,2850,9
6088,11-3061,Purchasing Managers,detailed,1780,9
6089,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1200,9
