,occ_code,occ_title,o_group,tot_emp,area
1273,11-0000,Management Occupations,major,306380,25
1274,13-0000,Business and Financial Operations Occupations,major,220430,25
1275,15-0000,Computer and Mathematical Occupations,major,147070,25
1276,17-0000,Architecture and Engineering Occupations,major,74450,25
1277,19-0000,"Life, Physical, and Social Science Occupations",major,58340,25
1278,21-0000,Community and Social Service Occupations,major,83650,25
1279,23-0000,Legal Occupations,major,29610,25
1280,25-0000,Educational Instruction and Library Occupations,major,243900,25
1281,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,52440,25
1282,29-0000,Healthcare Practitioners and Technical Occupations,major,238920,25
1283,31-0000,Healthcare Support Occupations,major,192280,25
1284,33-0000,Protective Service Occupations,major,78730,25
1285,35-0000,Food Preparation and Serving Related Occupations,major,312680,25
1286,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,107080,25
1287,39-0000,Personal Care and Service Occupations,major,88050,25
1288,41-0000,Sales and Related Occupations,major,315220,25
1289,43-0000,Office and Administrative Support Occupations,major,445160,25
1290,45-0000,"Farming, Fishing, and Forestry Occupations",major,2080,25
1291,47-0000,Construction and Extraction Occupations,major,131900,25
1292,49-0000,"Installation, Maintenance, and Repair Occupations",major,105990,25
1293,51-0000,Production Occupations,major,151530,25
1294,53-0000,Transportation and Material Moving Occupations,major,233750,25
15966,11-1011,Chief Executives,detailed,7810,25
15967,11-1021,General and Operations Managers,detailed,82190,25
15968,11-1031,Legislators,detailed,730,25
15969,11-2011,Advertising and Promotions Managers,detailed,880,25
15970,11-2021,Marketing Managers,detailed,16720,25
15971,11-2022,Sales Managers,detailed,17560,25
15972,11-2030,Public Relations and Fundraising Managers,detailed,5250,25
15973,11-3010,Administrative Services and Facilities Managers,detailed,11930,25
15974,11-3021,Computer and Information Systems Managers,detailed,19750,25
15975,11-3031,Financial Managers,detailed,33520,25
15976,11-3051,Industrial Production Managers,detailed,5590,25
15977,11-3061,Purchasing Managers,detailed,3020,25
15978,11-3071,"Transportation, Storage, and Distribution Managers",detailed,3270,25
15979,11-3111,Compensation and Benefits Managers,detailed,830,25
15980,11-3121,Human Resources Managers,detailed,6740,25
15981,11-3131,Training and Development Managers,detailed,1970,25
15982,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,70,25
15983,11-9021,Construction Managers,detailed,7450,25
15984,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,2120,25
15985,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,8290,25
15986,11-9033,"Education Administrators, Postsecondary",detailed,11490,25
15987,11-9039,"Education Administrators, All Other",detailed,**,25
15988,11-9041,Architectural and Engineering Managers,detailed,8190,25
15989,11-9051,Food Service Managers,detailed,7050,25
15990,11-9081,Lodging Managers,detailed,**,25
15991,11-9111,Medical and Health Services Managers,detailed,15810,25
15992,11-9121,Natural Sciences Managers,detailed,3870,25
15993,11-9131,Postmasters and Mail Superintendents,detailed,330,25
15994,11-9141,"Property, Real Estate, and Community Association Managers",detailed,5350,25
15995,11-9151,Social and Community Service Managers,detailed,7620,25
15996,11-9161,Emergency Management Directors,detailed,130,25
15997,11-9171,Funeral Home Managers,detailed,280,25
15998,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,8440,25
15999,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,380,25
