ID,Reference
1,"Metcalf & Eddy, 2014"
2,"Campos Pereira, H.; Ullberg, M.; Kleja, D. B.; Gustafsson, J. P.; Ahrens, L. Sorption of Perfluoroalkyl Substances (PFASs) to an Organic Soil Horizon-Effect of Cation Composition and pH. Chemosphere 2018, 207, 183-191"
3,"Guelfo, J. L.; Higgins, C. P. Subsurface Transport Potential of Perfluoroalkyl Acids at Aqueous Film-Forming Foam (AFFF)-Impacted Sites. Environ. Sci. Technol. 2013, 47 (9), 4164-4171."
4,"Sepulvado, J. G., Blaine, A. C., Hundal, L. S., & Higgins, C. P. (2011). Occurrence and fate of perfluorochemicals in soil following the land application of municipal biosolids. Environmental Science and Technology, 45(19), 8106-8112. https://doi.org/10.1021/es103903d"
5,"Zareitalabad, P., Siemens, J., Hamer, M., & Amelung, W. (2013). Perfluorooctanoic acid (PFOA) and perfluorooctanesulfonic acid (PFOS) in surface waters, sediments, soils and wastewater - A review on concentrations and distribution coefficients. Chemosphere, 91(6), 725-732. https://doi.org/10.1016/j.chemosphere.2013.02.024"
6,"Milinovic, J.; Lacorte, S.; Rigol, A.; Vidal, M. Sorption of Perfluoroalkyl Substances in Sewage Sludge. Environ. Sci. Pollut. Res. 2016, 23 (9), 8339-8348"
7,"US-EPA. (2002). Status Report Land Application of Biosolids (USEPA 2002-S-000004). Washington, DC."
8,"Krogmann, U., Rogers, F. B., Boyles, L. S., Bamka, W. J., & Heckman, J. R. (2002). Guidelines for Land Application of Non-Traditional Organic Wastes (Food Processing By-Products and Municipal Yard Wastes) on Farmlands in New Jersey. Rutgers Cooperative Extension."
9,"Huddleston, J.H.; Ronayne, M. P. (1990). Guide to Soil Suitability and Site Selection for Beneficial Use of Sewage Sludge"
10,"Bonan, G. B. (2019). Soil Moisture. In Climate Change and Terrestrial Ecosystem Modeling (Vol. 74, pp. 115-133). Cambridge University Press. https://doi.org/10.1086/333063"
11,https://power.larc.nasa.gov/data-access-viewer/
12,"McCuen, Richard H., Hydrologic Analysis and Design, 2nd Ed, Upper Saddle River, NJ, 1998."
13,"Reitz, Meredith, Sanford, W.E., Senay, G.B., and Cazenas, Jeffrey, 2017, Annual estimates of recharge, quick-flow runoff, and ET for the contiguous US using empirical regression equations, 2000-2013: U.S. Geological Survey data release, https://doi.org/10.5066/F7PN93P0."
14,"Choi, Y. J., Kim Lazcano, R., Yousefi, P., Trim, H., & Lee, L. S. (2019). Perfluoroalkyl Acid Characterization in U.S. Municipal Organic Solid Waste Composts. Environmental Science and Technology Letters, 6(6), 372-377. https://doi.org/10.1021/acs.estlett.9b00280"
15,"Lazcano, R.M.; Y. J. Choi, M. L. Mashtare, and L. S. Lee, (2020). Characterizing and Comparing Per- and Polyfluoroalkyl Substances in Commercially Available Biosolid and Organic Non-Biosolid-Based Products, Environ. Sci. Technol., vol. 54, no. 14, pp. 8640-8648.."
16,"Adhikari, B. K.; S. Barrington, J. Martinez, and S. King, Characterization of food waste and bulking agents for composting, Waste Manag., vol. 28, no. 5, pp. 795-804, 2008."
17,"Allred, B. M., Lang, J. R., Barlaz, M. A., and J. A. Field 2015, Physical and Biological Release of Poly- and Perfluoroalkyl Substances (PFASs) from Municipal Solid Waste in Anaerobic Model Landfill Reactor, Environ. Sci. and Technol., 49, p. 7648 - 56."
18,"Arvaniti, O. S., Ventouri, E. I., Stasinakis, A. S., & Thomaidis, N. S. (2012). Occurrence of different classes of perfluorinated compounds in Greek wastewater treatment plants and determination of their solid-water distribution coefficients. Journal of Hazardous Materials, 239-240, 24-31. https://doi.org/10.1016/j.jhazmat.2012.02.015"
19,"Arvaniti, O. S., Andersen, H. R., Thomaidis, N. S., & Stasinakis, A. S. (2014). Sorption of Perfluorinated Compounds onto different types of sewage sludge and assessment of its importance during wastewater treatment. Chemosphere, 111, 405-411. https://doi.org/10.1016/j.chemosphere.2014.03.087"
